,id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
171,1069,1679,前海开源中国稀缺资产混合,80280038,前海开源中国稀缺资产混合,前海开源中国稀缺资产灵活配置混合型证券投资基金,qhkyjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0203,0.0,2.6069999999999998,2.6069999999999998,2020-11-11,0,0.0,-0.0203,0.0504,0.047,0.8919,0.8218,0.5408,2.0069,0.012,0.0012,0.015,0.0015,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '曲扬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30209121'}]",2020-11-12 15:35:15,2016-04-07 15:10:08,1.607,2,0,1,0,44,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
247,1184,217010,招商大盘蓝筹股票,80036782,招商大盘蓝筹股票,招商大盘蓝筹混合型证券投资基金,zsjjglyxgs,中高风险,A,U,x1001,x2001,x3006,,0,0.0,0.0,0.0,-0.0155,0.0,3.045,3.045,2020-11-11,0,1.0,-0.0155,0.0371,0.0722,0.7745,0.6648,0.3835,0.9519,0.0,0.0,0.015,0.0015,0.1,0.0,0.0,1.0,0,1,1,1,1,1,2020-11-12,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '郭锐', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30176884'}]",2020-11-12 15:02:56,2016-05-13 08:50:11,3.8473,2,0,1,0,17,1000,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
254,1191,2249,招商境远灵活配置混合,80036782,招商境远灵活配置混合,招商境远灵活配置混合型证券投资基金,zsjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0124,0.0,2.2821,2.2821,2020-11-11,0,1.0,-0.0124,0.0433,0.0939,0.9144,0.7766,0.46,1.1859,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,2020-11-12,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-05-27 00:00:00,2020-11-12 00:00:00,2020-11-12,99999999.9999,,"[{'name': '郭锐', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30176884'}, {'name': '文仲阳', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30137198'}]",2020-11-12 14:55:52,2016-05-16 09:10:12,1.2821,2,0,1,0,17,1000,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
310,1247,1705,泓德战略转型股票,80500770,泓德战略转型股票,泓德战略转型股票型证券投资基金,hongdjjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0,0.0,0.0,-0.0112,0.0,2.1315,2.1315,2020-11-11,0,0.0,-0.0112,0.0642,0.1686,0.8813,0.7703,0.5954,0.9775,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '秦毅', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30329785'}]",2020-11-12 15:32:47,2016-06-28 08:50:14,1.5457,2,0,1,0,4D,1000,1000,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),1000.0
324,1264,2079,前海开源中国稀缺资产混合C,80280038,前海开源中国稀缺资产混合C,前海开源中国稀缺资产灵活配置混合型证券投资基金,qhkyjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0201,0.0,2.73,2.73,2020-11-11,0,0.0,-0.0201,0.0504,0.0468,0.8906,0.8212,0.5406,2.0537,0.012,0.0012,0.015,0.0015,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '曲扬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30209121'}]",2020-11-12 15:40:28,2016-07-14 09:00:15,1.73,2,0,1,0,44,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
348,1288,2669,华商万众创新混合,80053204,华商万众创新混合,华商万众创新灵活配置混合型证券投资基金,hsjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0274,0.0,2.094,2.094,2020-11-11,0,1.0,-0.0274,0.0722,0.1228,1.1655,0.9943,0.5363,1.4723,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-06-25 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '梁皓', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30130644'}]",2020-11-12 15:38:27,2016-08-03 08:50:18,1.094,2,0,1,0,63,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
390,1360,470008,汇添富策略回报混合,80053708,汇添富策略回报混合,汇添富策略回报混合型证券投资基金,htfjjglgfyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.016,0.0,3.505,3.505,2020-11-11,0,1.0,-0.016,0.0355,0.0494,0.7974,0.6892,0.4574,0.9322,0.012,0.0012,0.015,0.0015,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '顾耀强', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30054653'}]",2020-11-12 15:14:56,2016-08-11 09:10:22,2.8753,1,0,1,0,47,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
404,1395,550016,信诚至远C,80066470,信诚至远C,信诚至远灵活配置混合型证券投资基金,zxbcjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0237,0.0,3.0294,3.0294,2020-11-11,0,1.0,-0.0237,0.023,0.0974,0.9528,0.8632,0.534,1.8606,0.006,0.001,0.0,0.0,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-11-25 00:00:00,2020-11-13 00:00:00,2020-11-13,56693300.0,,"[{'name': '王睿', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30285719'}, {'name': '刘锐', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30285489'}]",2020-11-12 15:18:37,2016-08-12 09:00:18,2.0294,1,0,1,0,55,100,100,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.0
405,1396,550015,信诚至远A,80066470,信诚至远A,信诚至远灵活配置混合型证券投资基金,zxbcjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0237,0.0,2.1193,2.1193,2020-11-11,0,1.0,-0.0237,0.0233,0.0983,0.9594,0.8687,0.5367,1.0296,0.0,0.0,0.008,0.001,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '王睿', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30285719'}, {'name': '刘锐', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30285489'}]",2020-11-12 15:18:36,2016-08-12 09:00:18,1.1193,1,0,1,0,55,100,100,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.0
489,1516,100060,富国高新技术产业混合,80000221,富国高新技术产业混合,富国高新技术产业混合型证券投资基金,fgjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0211,0.0,4.277,4.277,2020-11-11,0,0.01,-0.0211,0.1089,0.16699999999999998,1.0914,0.8192,0.7163,1.3141,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '李元博', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30273328'}]",2020-11-12 15:31:58,2016-09-05 09:21:53,4.94,2,0,1,0,10,1,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
