id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
17,202301,南方现金增利货币A,80000220,南方现金增利货币A,南方现金增利基金,nfjjglgfyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.573,0.0,0.0211,0.0,0.0211,0.573,0.573,2020-11-11,0,0.0,0.0,0.0019,0.0051,0.0199,0.0163,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-11-27 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '申俊华', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30072275'}]",2020-11-12 15:02:35,2015-08-06 10:02:32,0.0163,0,1,1,0,1,10,10,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),10.0
87,202015,南方300联接,80000220,南方300联接,南方沪深300交易型开放式指数证券投资基金联接基金,nfjjglgfyxgs,高风险,A,F,x1001,x2002,x3008,h4001,0,0.0,0.0,0.0,-0.0094,0.0,1.9664,1.9664,2020-11-11,0,0.0,-0.0094,0.0474,0.0582,0.3141,0.253,0.2868,0.3114,0.01,0.001,0.012,0.0012,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-11-27 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '罗文杰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30163568'}]",2020-11-12 15:00:59,2015-08-27 13:20:13,1.2428,2,0,1,0,1,10,10,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),10.0
88,260101,景顺长城优选混合,80000251,景顺长城优选混合,景顺长城优选混合型证券投资基金,jsccjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0187,0.0,3.6208,3.6208,2020-11-11,0,1.0,-0.0187,0.0188,0.0814,0.5328,0.4192,0.2875,0.598,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '杨锐文', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30304337'}]",2020-11-12 15:06:30,2015-08-27 13:20:13,16.0131,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
89,260102,景顺长城货币A,80000251,景顺长城货币A,景顺长城货币市场证券投资基金,jsccjjglyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.8072,0.0,0.0219,0.0,0.0219,0.8072,0.8072,2020-11-11,0,0.01,0.0,0.002,0.0053,0.0209,0.0175,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-11-27 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '陈威霖', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30408233'}, {'name': '米良', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30569939'}]",2020-11-12 15:06:32,2015-08-27 13:20:13,0.0175,0,1,1,0,26,1,0,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),1.0
90,260103,景顺长城动力平衡混合,80000251,景顺长城动力平衡混合,景顺长城动力平衡证券投资基金,jsccjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.004,0.0,1.8653,1.8653,2020-11-11,0,1.0,-0.004,0.009,0.0479,0.4349,0.3614,0.3061,0.6373,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '刘苏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30142282'}]",2020-11-12 15:06:33,2015-08-27 13:20:13,7.9647,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
91,260104,景顺长城内需增长混合,80000251,景顺长城内需增长混合,景顺长城内需增长混合型证券投资基金,jsccjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0095,0.0,11.955,11.955,2020-11-11,0,1.0,-0.0095,0.0806,0.1368,0.6719,0.6367,0.546,1.1374,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '刘彦春', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30042957'}]",2020-11-12 15:06:34,2015-08-27 13:20:13,21.7919,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
92,260108,景顺长城新兴成长混合,80000251,景顺长城新兴成长混合,景顺长城新兴成长混合型证券投资基金,jsccjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0105,0.0,2.828,2.828,2020-11-11,0,1.0,-0.0105,0.0716,0.1222,0.6312,0.6014,0.5091,1.3573,0.0,0.0,0.015,0.0015,0.1,0.0025,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-11-27 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '刘彦春', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30042957'}]",2020-11-12 15:06:35,2015-08-27 13:20:13,6.7302,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
93,260109,景顺长城内需贰号混合,80000251,景顺长城内需贰号混合,景顺长城内需增长贰号混合型证券投资基金,jsccjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0104,0.0,1.903,1.903,2020-11-11,0,1.0,-0.0104,0.08,0.1227,0.6351,0.6052,0.5151,1.0455,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '刘彦春', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30042957'}]",2020-11-12 15:06:36,2015-08-27 13:20:13,9.5066,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
94,260110,景顺长城精选蓝筹混合,80000251,景顺长城精选蓝筹混合,景顺长城精选蓝筹混合型证券投资基金,jsccjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0131,0.0,1.663,1.663,2020-11-11,0,1.0,-0.0131,0.0519,0.1139,0.4553,0.379,0.339,0.6016,0.0,0.0,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '余广', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30060238'}, {'name': '江科宏', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30165005'}]",2020-11-12 15:06:37,2015-08-27 13:20:13,1.7717,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
95,260111,景顺长城公司治理混合,80000251,景顺长城公司治理混合,景顺长城公司治理混合型证券投资基金,jsccjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0101,0.0,1.673,1.673,2020-11-11,0,1.0,-0.0101,0.0232,0.0821,0.448,0.3623,0.3602,0.5445,0.0,0.0,0.015,0.0015,0.1,0.0,0.0,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,37685400.0,,"[{'name': '杨锐文', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30304337'}]",2020-11-12 15:06:38,2015-08-27 13:20:13,2.2987,2,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
