,id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
324,1264,2079,前海开源中国稀缺资产混合C,80280038,前海开源中国稀缺资产混合C,前海开源中国稀缺资产灵活配置混合型证券投资基金,qhkyjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0201,0.0,2.73,2.73,2020-11-11,0,0.0,-0.0201,0.0504,0.0468,0.8906,0.8212,0.5406,2.0537,0.012,0.0012,0.015,0.0015,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '曲扬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30209121'}]",2020-11-12 15:40:28,2016-07-14 09:00:15,1.73,2,0,1,0,44,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
171,1069,1679,前海开源中国稀缺资产混合,80280038,前海开源中国稀缺资产混合,前海开源中国稀缺资产灵活配置混合型证券投资基金,qhkyjjglyxgs,中高风险,A,A,x1001,x2001,x3006,h4002,0,0.0,0.0,0.0,-0.0203,0.0,2.6069999999999998,2.6069999999999998,2020-11-11,0,0.0,-0.0203,0.0504,0.047,0.8919,0.8218,0.5408,2.0069,0.012,0.0012,0.015,0.0015,0.1,0.005,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '曲扬', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30209121'}]",2020-11-12 15:35:15,2016-04-07 15:10:08,1.607,2,0,1,0,44,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.0
404,1395,550016,信诚至远C,80066470,信诚至远C,信诚至远灵活配置混合型证券投资基金,zxbcjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0237,0.0,3.0294,3.0294,2020-11-11,0,1.0,-0.0237,0.023,0.0974,0.9528,0.8632,0.534,1.8606,0.006,0.001,0.0,0.0,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-11-25 00:00:00,2020-11-13 00:00:00,2020-11-13,56693300.0,,"[{'name': '王睿', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30285719'}, {'name': '刘锐', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30285489'}]",2020-11-12 15:18:37,2016-08-12 09:00:18,2.0294,1,0,1,0,55,100,100,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.0
1105,2436,161903,万家优选混合,80000240,万家优选混合,万家行业优选混合型证券投资基金(LOF）,wjjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0407,0.0,2.056,2.056,2020-11-11,0,0.0,-0.0407,0.0626,0.0936,1.0045,0.8354,0.3235,1.8065,0.01,0.001,0.015,0.0015,0.0,0.005,0.001,1.0,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-10-23 00:00:00,2020-11-12 00:00:00,2020-11-12,99999999.9999,,"[{'name': '黄兴亮', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30266289'}]",2020-11-12 14:57:19,2016-12-16 09:21:26,9.2159,2,0,1,0,98,1000,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1000.0
1720,3081,3516,国泰融安多策略灵活配置混合,80000224,国泰融安多策略灵活配置混合,国泰融安多策略灵活配置混合型证券投资基金,gtjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0192,0.0,2.8262,2.8262,2020-11-11,0,0.0,-0.0192,0.038,0.0526,0.7108,0.6295,0.3601,1.7217,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2018-03-29,2018-03-29 00:00:00,0000-00-00 00:00:00,2018-05-22 00:00:00,2018-05-22,99999999.9999,,"[{'name': '林小聪', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30498339'}]",2020-11-12 15:22:10,2018-04-04 03:25:44,1.8262,2,0,1,0,02,100,100,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),100.0
1447,2790,4075,交银医药创新股票,80064562,交银医药创新股票,交银施罗德医药创新股票型证券投资基金,jysldjjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0,0.0,0.0,-0.0287,0.0,3.0864,3.0864,2020-11-11,0,1.0,-0.0287,-0.015,-0.0456,0.7757,0.7522,0.3993,1.7031,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,2017-02-20,2017-02-20 00:00:00,0000-00-00 00:00:00,2017-03-31 00:00:00,2017-03-31,99999999.9999,,"[{'name': '楼慧源', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30300507'}]",2020-11-12 15:33:40,2017-02-23 09:21:35,2.0864,2,0,1,0,99,10,10,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),10.0
2650,4149,2780,前海联合泓鑫混合A,80516201,前海联合泓鑫混合A,新疆前海联合泓鑫灵活配置混合型证券投资基金,xjqhlhjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.0104,0.0,2.7539,2.7539,2020-11-11,0,0.0,-0.0104,0.0672,0.1372,1.0245,0.8611,0.5209,1.6328,0.0,0.0,0.015,0.0015,0.0,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '何杰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30073201'}]",2020-11-12 15:34:45,2019-07-05 09:22:02,1.7539,2,0,1,0,4M,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
1089,2418,1766,上投医疗健康股票,80050229,上投医疗健康股票,上投摩根医疗健康股票型证券投资基金,stmgjjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0,0.0,0.0,-0.0258,0.0,2.34,2.34,2020-11-11,0,1.0,-0.0258,0.0108,-0.0013,0.6479,0.6409999999999999,0.2822,1.5971,0.012,0.0012,0.015,0.0015,0.1,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '方钰涵', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30560767'}]",2020-11-12 15:34:37,2016-12-16 09:21:09,1.34,2,0,1,0,37,1,1,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),1.0
2979,4696,3793,泰达宏利溢利债券A,80000238,泰达宏利溢利债券A,泰达宏利溢利债券型证券投资基金,tdhljjglyxgs,中低风险,A,1,x1001,x2003,x3003,,0,0.0,0.0,0.0,0.0001,0.0,1.767,1.767,2020-11-11,0,0.0,0.0001,0.0037,0.0026,0.0205,0.0125,-0.0133,1.5917,0.0,0.0,0.008,0.001,0.0,0.015,0.0015,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2020-03-24 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '杜磊', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30484399'}, {'name': '宁霄', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30657390'}]",2020-11-12 15:37:15,2020-03-17 09:55:06,1.6779,1,0,1,0,22,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
880,2079,3095,中欧医疗健康混合A,80065113,中欧医疗健康混合A,中欧医疗健康混合型证券投资基金,zojjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0,0.0,0.0,-0.033,0.0,2.992,2.992,2020-11-11,0,0.01,-0.033,0.0,-0.0376,0.679,0.7265,0.3538,1.5347,0.012,0.0012,0.015,0.0015,0.1,0.0025,0.001,1.0,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-11-27 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '葛兰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30315582'}]",2020-11-12 15:40:41,2016-11-14 09:40:38,2.1506,1,0,1,0,60,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.0
