id,fund_code,fund_name,company_id,fund_short_name,fund_legal_name,fund_pinyin,fund_risk_level,share_type,fund_type,type1_id,type2_id,type3_id,help_type4_id,is_money_fund,hf_incomeratio,income,incomeratio,incomeratio_t001,incomeratio_s010,netvalue,total_netvalue,navdate,fund_state,min_share,day_incratio,month_incratio,quarter_incratio,year_incratio,this_year_incratio,half_year_incratio,three_year_incratio,feerate1,sina_feerate1,feerate2,sina_feerate2,discountrate2,feerate3,sina_feerate3,dayinc,subscribe_state,declare_state,withdraw_state,valuagr_state,trend_state,hopedeclare_state,declareend_day,redeemend_day,open_day,is_forbidbuybyredeem,trans_flag,fundsub_type,subscribe_beigin,sina_subscribe_beigin,help_sina_subscribe_beigin,sina_subscribe_end,subscribe_end,zjzfe,fund_scale,fund_manager,u_time,c_time,to_this_day_incratio,l_day,forbidbonustype,status,qdii_confirm_day,ta_code,min_value1,min_value2,can_buy,type2_id_desc,jz_and_sy,min_value
3823,004546,建信量化优享定期开放灵活配置混合,80065990,建信量化优享定期开放灵活配置混合,建信量化优享定期开放灵活配置混合型证券投资基金,jxjjglyxzrgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0047,0.0000,1.2812,1.2812,2020-11-11,4,0.00,-0.0047,-0.0074,-0.0030,0.2406,0.2054,0.1615,0.0000,0.0000,0.0000,0.0100,0.0010,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,30143800.0000,,"[{'name': '叶乐天', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30161722'}, {'name': '赵云煜', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30573094'}]",2020-11-12 15:26:21,2019-03-25 10:14:54,0.2812,2,0,1,0,53,0,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
3686,004544,嘉实稳华纯债债券,80000223,嘉实稳华纯债债券,嘉实稳华纯债债券型证券投资基金,jsjjglyxgs,低风险,A,1,x1001,x2003,x3012,,0,0.0000,0.0000,0.0000,0.0000,0.0000,1.1049,1.1049,2020-11-11,0,1.00,0.0000,0.0020,0.0041,0.0424,0.0358,0.0117,0.1707,0.0000,0.0000,0.0080,0.0010,0.0000,0.0010,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '王亚洲', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30339836'}]",2020-11-12 15:07:37,2019-01-07 12:17:13,0.1858,2,0,1,0,07,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
2916,004536,嘉实中小企业量化活力灵活配置混合,80000223,嘉实中小企业量化活力灵活配置混合,嘉实中小企业量化活力灵活配置混合型证券投资基金,jsjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0179,0.0000,1.3180,1.3180,2020-11-11,0,1.00,-0.0179,-0.0223,-0.0491,0.4515,0.3193,0.2204,0.3075,0.0120,0.0012,0.0150,0.0015,0.1000,0.0025,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,24098700.0000,,"[{'name': '金猛', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30565630'}]",2020-11-12 15:12:36,2017-07-24 09:20:55,0.3180,2,0,1,0,07,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
4041,004535,添富年年益定开混合C,80053708,添富年年益定开混合C,汇添富年年益定期开放混合型证券投资基金,htfjjglgfyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,-0.0023,0.0000,1.2847,1.2847,2020-11-11,4,1.00,-0.0023,0.0129,0.0235,0.1413,0.1257,0.0954,0.2127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,5587920.0000,,"[{'name': '郑慧莲', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30494745'}, {'name': '徐一恒', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30620806'}]",2020-11-12 15:40:33,2019-05-23 12:26:50,0.2847,1,0,1,0,47,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
4040,004534,添富年年益定开混合A,80053708,添富年年益定开混合A,汇添富年年益定期开放混合型证券投资基金,htfjjglgfyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,-0.0023,0.0000,1.3021,1.3021,2020-11-11,4,1.00,-0.0023,0.0132,0.0245,0.1459,0.1296,0.0976,0.2267,0.0000,0.0000,0.0100,0.0010,0.0000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,51423300.0000,,"[{'name': '郑慧莲', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30494745'}, {'name': '徐一恒', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30620806'}]",2020-11-12 15:40:32,2019-05-23 12:26:49,0.3021,1,0,1,0,47,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
2939,004522,安信工业4.0混合C,80163340,安信工业4.0混合C,安信工业4.0主题沪港深精选灵活配置混合型证券投资基金,axjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0374,0.0000,1.2034,1.2034,2020-11-11,0,1.00,-0.0374,-0.0134,-0.0314,0.2538,0.1558,0.1949,0.1150,0.0000,0.0000,0.0000,0.0000,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2019-02-14 00:00:00,2020-11-13 00:00:00,2020-11-13,1370110.0000,,"[{'name': '谭珏娜', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30109927'}]",2020-11-12 15:12:35,2017-08-22 10:00:48,0.2034,3,0,1,0,75,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
2935,004521,安信工业4.0混合A,80163340,安信工业4.0混合A,安信工业4.0主题沪港深精选灵活配置混合型证券投资基金,axjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0374,0.0000,1.2084,1.2084,2020-11-11,0,1.00,-0.0374,-0.0131,-0.0309,0.2555,0.1571,0.1958,0.1192,0.0120,0.0012,0.0150,0.0015,0.1000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,5063080.0000,,"[{'name': '谭珏娜', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30109927'}]",2020-11-12 15:12:34,2017-08-21 10:00:51,0.2084,3,0,1,0,75,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
2854,004517,南方安康混合,80000220,南方安康混合,南方安康混合型证券投资基金,nfjjglgfyxgs,中等风险,A,A,x1001,x2001,x3004,h4001,0,0.0000,0.0000,0.0000,-0.0013,0.0000,1.0754,1.0754,2020-11-11,0,0.00,-0.0013,0.0170,0.0388,0.1630,0.1371,0.1028,0.3112,0.0100,0.0010,0.0120,0.0012,0.1000,0.0075,0.0010,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-05-12,2017-05-12 00:00:00,0000-00-00 00:00:00,2017-06-12 00:00:00,2017-06-12,99999999.9999,,"[{'name': '林乐峰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30402495'}]",2020-11-12 15:12:33,2017-05-15 09:41:12,0.3417,2,0,1,0,01,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
2837,004513,海富通沪深300指数增强A,80000246,海富通沪深300指数增强A,海富通沪深300指数增强型证券投资基金,hftjjglyxgs,中等风险,A,F,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0086,0.0000,1.3898,1.3898,2020-11-11,0,10.00,-0.0086,0.0368,0.0965,0.3029,0.2643,0.2858,0.3439,0.0080,0.0010,0.0100,0.0010,0.1000,0.0075,0.0010,1.0000,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,2017-04-07,2017-04-07 00:00:00,0000-00-00 00:00:00,2017-05-08 00:00:00,2017-05-08,50256300.0000,,"[{'name': '朱斌全', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30551634'}]",2020-11-12 15:12:31,2017-04-10 09:11:26,0.4313,2,0,1,0,99,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
2836,004512,海富通沪深300指数增强C,80000246,海富通沪深300指数增强C,海富通沪深300指数增强型证券投资基金,hftjjglyxgs,中等风险,A,F,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0085,0.0000,1.4448,1.4448,2020-11-11,0,10.00,-0.0085,0.0367,0.0962,0.3022,0.2632,0.2852,0.4211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0010,1.0000,0,1,1,1,1,1,2020-11-12,0001-01-01,0000-00-00,1,1,1,2017-04-07,2017-04-07 00:00:00,0000-00-00 00:00:00,2017-05-08 00:00:00,2017-05-08,99999999.9999,,"[{'name': '朱斌全', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30551634'}]",2020-11-12 15:11:13,2017-04-10 09:11:26,0.5064,2,0,1,0,99,10,10,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),10.00
3685,004501,嘉实现金添利货币,80000223,嘉实现金添利货币,嘉实现金添利货币市场基金,jsjjglyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.6135,0.0000,0.0225,0.0000,0.0225,0.6135,0.6135,2020-11-11,0,0.00,0.0000,0.0021,0.0055,0.0222,0.0184,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2020-02-13 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '李曈', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30317039'}]",2020-11-12 15:07:25,2019-01-07 12:17:10,0.0184,0,1,1,0,07,0,10,"{'show': '暂停购买', 'canbuy': None}",货币型,/(11-11),0.01
3684,004488,嘉实富时中国A50ETF联接A	,80000223,嘉实富时中国A50ETF联接A	,嘉实富时中国A50交易型开放式指数证券投资基金联接基金,jsjjglyxgs,高风险,A,S,x1001,x2002,x3008,,0,0.0000,0.0000,0.0000,-0.0040,0.0000,1.5510,1.5510,2020-11-11,0,1.00,-0.0040,0.0661,0.0881,0.2859,0.2385,0.2879,0.4083,0.0000,0.0000,0.0120,0.0012,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,20447400.0000,,"[{'name': '刘珈吟', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30401026'}, {'name': '高峰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30587924'}]",2020-11-12 15:07:24,2019-01-07 12:17:09,0.5510,2,0,1,0,07,0,10,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),0.01
3683,004486,嘉实稳怡债券,80000223,嘉实稳怡债券,嘉实稳怡债券型证券投资基金,jsjjglyxgs,中低风险,A,1,x1001,x2003,x3003,,0,0.0000,0.0000,0.0000,-0.0023,0.0000,1.1419,1.1419,2020-11-11,4,1.00,-0.0023,0.0085,0.0123,0.0575,0.0517,0.0383,0.1402,0.0000,0.0000,0.0080,0.0010,0.0000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,36985000.0000,,"[{'name': '王亚洲', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30339836'}]",2020-11-12 15:07:23,2019-01-07 12:17:09,0.1419,2,0,1,0,07,0,10,"{'show': '暂停购买', 'canbuy': None}",债券型,/(11-11),0.01
2835,004483,泰达宏利港股通股票C,80000238,泰达宏利港股通股票C,泰达宏利港股通优选股票型证券投资基金,tdhljjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0000,0.0000,0.0000,-0.0043,0.0000,1.1947,1.1947,2019-11-28,4,0.00,-0.0043,0.0028,0.0558,0.0980,0.1643,0.0795,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0150,0.0015,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-04-07,2017-04-07 00:00:00,0000-00-00 00:00:00,2017-05-08 00:00:00,2017-05-08,8821320.0000,,,2020-11-12 15:11:12,2017-04-10 09:11:26,0.1947,3,0,1,0,22,1,1,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-28),1.00
2834,004482,泰达宏利港股通股票A,80000238,泰达宏利港股通股票A,泰达宏利港股通优选股票型证券投资基金,tdhljjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0000,0.0000,0.0000,-0.0043,0.0000,1.1621,1.1621,2019-11-28,4,0.00,-0.0043,0.0025,0.0485,0.0644,0.1286,0.0552,0.0000,0.0100,0.0010,0.0120,0.0012,0.1000,0.0075,0.0010,1.0000,0,0,0,0,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-04-07,2017-04-07 00:00:00,0000-00-00 00:00:00,2017-05-15 00:00:00,2017-05-15,8821320.0000,,,2020-11-12 15:11:11,2017-04-10 09:11:26,0.1621,3,0,1,0,22,1,1,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-28),1.00
2915,004477,嘉实沪港深回报混合,80000223,嘉实沪港深回报混合,嘉实沪港深回报混合型证券投资基金,jsjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0264,0.0000,1.9175,1.9175,2020-11-11,0,1.00,-0.0264,0.0583,0.1118,0.4762,0.4401,0.3621,0.5724,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,-0001-11-30,0000-00-00 00:00:00,2018-12-01 00:00:00,2020-11-13 00:00:00,2020-11-13,99999999.9999,,"[{'name': '王丹', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30579019'}, {'name': '张金涛', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30391400'}]",2020-11-12 15:11:10,2017-07-24 09:20:55,1.0037,2,0,1,0,07,1,1,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),1.00
2866,004476,景顺沪港深领先科技股票,80000251,景顺沪港深领先科技股票,景顺长城沪港深领先科技股票型证券投资基金,jsccjjglyxgs,高风险,A,U,x1001,x2002,x3007,,0,0.0000,0.0000,0.0000,-0.0328,0.0000,1.9760,1.9760,2020-11-11,0,1.00,-0.0328,-0.0445,-0.0015,0.5401,0.4124,0.2724,0.7108,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-06-07,2017-06-07 00:00:00,0000-00-00 00:00:00,2017-07-06 00:00:00,2017-07-06,99999999.9999,,"[{'name': '詹成', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30379034'}]",2020-11-12 15:11:09,2017-06-08 09:41:18,0.9760,3,0,1,0,26,1,1,"{'show': '暂停购买', 'canbuy': None}",股票型,/(11-11),1.00
2930,004475,华泰柏瑞富利混合,80055334,华泰柏瑞富利混合,华泰柏瑞富利灵活配置混合型证券投资基金,htbrjjglyxgs,中等风险,A,A,x1001,x2001,x3004,h4002,0,0.0000,0.0000,0.0000,-0.0126,0.0000,1.0350,1.0350,2020-11-11,0,1.00,-0.0126,0.0318,0.0426,0.1811,0.0523,0.1573,0.0357,0.0120,0.0012,0.0150,0.0015,0.1000,0.0150,0.0015,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,1,1,2017-08-09,2017-08-09 00:00:00,0000-00-00 00:00:00,2017-09-07 00:00:00,2017-09-07,99999999.9999,,"[{'name': '董辰', 'url': 'http://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30224458'}]",2020-11-12 15:11:08,2017-08-10 09:20:51,0.0350,2,0,1,0,46,0,0,"{'show': '暂停购买', 'canbuy': None}",混合型,/(11-11),0.01
3487,004474,前海开源尊享货币B,80280038,前海开源尊享货币B,前海开源尊享货币市场基金,qhkyjjglyxgs,低风险,A,2,x1001,x2005,x3020,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1900-01-01,4,1.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,378895.0000,,,2020-11-12 15:11:07,2018-12-04 14:01:53,0.0000,0,1,1,0,44,0,5000000,"{'show': '暂停购买', 'canbuy': None}",货币型,/(01-01),0.01
3486,004473,前海开源尊享货币A,80280038,前海开源尊享货币A,前海开源尊享货币市场基金,qhkyjjglyxgs,低风险,A,2,x1001,x2005,x3019,,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1900-01-01,4,1.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,1.0000,0,1,1,1,1,1,0000-00-00,0000-00-00,0000-00-00,1,0,1,-0001-11-30,0000-00-00 00:00:00,2018-01-01 00:00:00,2020-11-13 00:00:00,2020-11-13,83387.9000,,,2020-11-12 15:11:06,2018-12-04 14:01:53,0.0000,0,1,1,0,44,0,10,"{'show': '暂停购买', 'canbuy': None}",货币型,/(01-01),0.01
